rank,journal_title,total_cites,impact_factor,eigen_factor
240,CLINICAL INFECTIOUS DISEASES,"53,258",8.736,0.12386
241,JOURNAL OF CELL BIOLOGY,"67,778",8.717,0.1101
242,Physical Review X,"4,168",8.701,0.03307
243,PLOS BIOLOGY,"25,871",8.668,0.07966
244,Particle and Fibre Toxicology,"3,245",8.649,0.00916
245,Physics of Life Reviews,"1,124",8.615,0.00275
246,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"18,522",8.58,0.04536
247,ANNALS OF SURGERY,"43,775",8.569,0.07333
248,CANCER RESEARCH,"139,464",8.556,0.18154
249,Journal of Physical Chemistry Letters,"26,225",8.539,0.11885
250,PLANT CELL,"47,208",8.538,0.07537
251,FISH AND FISHERIES,"2,902",8.521,0.00707
252,GREEN CHEMISTRY,"28,472",8.506,0.0534
253,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"7,340",8.504,0.01882
254,JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY,"32,376",8.491,0.05665
255,AUTOIMMUNITY REVIEWS,"6,972",8.49,0.01849
256,SEMINARS IN IMMUNOLOGY,"3,951",8.461,0.01113
257,GLOBAL CHANGE BIOLOGY,"28,320",8.444,0.07701
258,ENVIRONMENTAL HEALTH PERSPECTIVES,"34,909",8.443,0.05378
259,BRIEFINGS IN BIOINFORMATICS,"3,898",8.399,0.0141
260,BIOMATERIALS,"95,025",8.387,0.14892
261,Lancet HIV,209,8.364,0.00076
262,Annual Review of Genomics and Human Genetics,"2,431",8.347,0.00704
263,EUROPEAN RESPIRATORY JOURNAL,"30,252",8.332,0.05273
264,APPLIED CATALYSIS B-ENVIRONMENTAL,"40,175",8.328,0.05722
265,Small,"30,275",8.315,0.07738
266,CURRENT OPINION IN BIOTECHNOLOGY,"12,429",8.314,0.02604
267,eLife,"7,951",8.303,0.06869
268,Earth System Science Data,703,8.286,0.00547
269,CEREBRAL CORTEX,"26,911",8.285,0.06829
270,Journal of Materials Chemistry A,"41,927",8.262,0.10917
271,JAMA Neurology,"3,176",8.23,0.01721
272,SYSTEMATIC BIOLOGY,"13,741",8.225,0.03213
273,CELL DEATH AND DIFFERENTIATION,"16,945",8.218,0.03574
274,METABOLIC ENGINEERING,"5,218",8.201,0.01262
275,CRITICAL REVIEWS IN MICROBIOLOGY,"2,001",8.192,0.00372
276,NEUROLOGY,"76,804",8.166,0.11808
277,CLINICAL PSYCHOLOGY REVIEW,"11,509",8.146,0.02317
278,LAND DEGRADATION & DEVELOPMENT,"2,873",8.145,0.00474
279,THORAX,"19,740",8.121,0.03273
280,ECOLOGICAL MONOGRAPHS,"9,501",8.037,0.00895
